"malont_iri","label","kind","comment","completeness","source_file","ontology_format","loaded_at"
"http://idea.rpi.edu/malont#Downloader","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Dropper","Dropper","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Exfiltration","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Exploit-kit","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#File","Filename","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Filepath","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#GeneralVirus","Virus","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Hardware","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Hash","Hash","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#HostingMalware","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#HostingTargetLists","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Infrastructure","","owl:Class","Represents a type of TTP and describes any systems, software services and any associated physical or virtual resources intended to support some purpose (e.g., C2 servers used as part of an attack, device or server that are part of defence, database servers targeted by an attack, etc.).\n\nExample from STIX2.1\n{\n  'type':'infrastructure',\n  'spec_version': '2.1',\n  'id':'infrastructure--38c47d93-d984-4fd9-b87b-d69d0841628d',\n  'created':'2016-05-07T11:22:30.000Z',\n  'modified':'2016-05-07T11:22:30.000Z',\n  'name':'Poison Ivy C2',\n  'infrastructure_types': ['command-and-control']\n}\n\n- Part of STIX 2.1\n- Added in 06/2021","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Keylogger","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Location","Location","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#MD5","MD5","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Malware","Malware","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#MalwareAnalysis","","owl:Class","Malware Analysis captures the VirusTotal extracted static or dynamic analysis performed on a malware instance or family.\n\n- Adapted from STIX 2.1\n- Added 06/2021\n- MalONT v2.0","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#MalwareFamily","MalwareFamily","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Network","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#OperatingSystem","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Organization","Organization","owl:Class","An organization that is either responsible for the attack or has been attacked by an adversary.","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Person","Person","owl:Class","Human Actor - Attacker or Person Attacked","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Phishing","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Port","","owl:Class","Port is a communication endpoint for a specific process or a type of network service.","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Protocol","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Ransomware","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Reconnaissance","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Region","Region","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#RemoteAccessTrojan-RAT","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Report","Report","owl:Class","Reports are collections of threat intelligence focused on one or more topics, such as a description of a threat actor, malware, or attack technique, including context and related details. They are used to group related threat intelligence together so that it can be published as a comprehensive cyber threat story.\n\n- Adapted from STIX 2.1\n- Added 06/2021\n- MalONT v2.0","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#ResourceExploitation","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#RogueSecuritySoftware","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Rootkit","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#SHA","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#SHA-1","SHA-1","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#SHA-256","SHA-256","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#SSDeep","SSDeep","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#ScreenCapture","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Software","Software","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Spyware","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Staging","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#System","System","owl:Class","Describes the hardware and software specifications (both are defined as subclasses)\n\n- Added 06/2021\n- MalONT v2.0","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#ThreatActor","ThreatActor","owl:Class","Threat Actor\n\nThreat Actors are actual individuals, groups, or organizations believed to be operating with malicious intent. A Threat Actor is not an Intrusion Set but may support or be affiliated with various Intrusion Sets, groups, or organizations over time.\n\n\nType - Person, Organization, Group\nAdded - 06/2021","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Time","Time","owl:Class","Time of an event in dfferent formats \nAbsolute Time expressed as Weekday, Date, Month, Year.\nRelative Time expressed in relative qualtiiable values.\n\n- Adapted from STIX 2.1\n- Added 06/2021\n- MalONT v2.0","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Trojan","Trojan","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#URL","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Unknown","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#VirusScanner","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Vulnerability","Vulnerability","owl:Class","It is a weakness or defect in the requirements, designs, or implementations of the computational logic (e.g., code) found in software and some hardware components (e.g., firmware) that can be directly exploited to negatively impact the confidentiality, integrity, or availability of that system. ( ref: STIX 2.1)\n\n- Adapted from STIX 2.1\n- Added 06/2021\n- MalONT v2.0","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Vulnerability_CVEID","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Vulnerability_Desc","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Webshell","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Wiper","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#Worm","","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://idea.rpi.edu/malont#vHash","vHash","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Email","EmailAddress","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
"http://www.semanticweb.org/yeed3/ontologies/2020/5/untitled-ontology-16#Indicator","Indicator","owl:Class","","loaded","C:\Users\fedev\Desktop\phd10maggio-backup\kg_neo4j_cti_malont_reasoning\data\malont\MALOnt.owl","xml","2026-05-21T10:09:33Z"
