graph_assertion_id,attack_id,first_seen_version
e5_llama::AnnoCTR::RAG::bosch_14__s26::T1070,T1070,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s28::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s29::T1219,T1219,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s3::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s4::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1033,T1033,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1606,T1606,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s5::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s7::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s7::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s7::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s8::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s8::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_14__s9::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s1::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s11::T1102,T1102,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s13::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s15::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s16::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s3::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s5::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s8::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s8::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_15__s9::T1114,T1114,v4.0
e5_llama::AnnoCTR::RAG::bosch_16__s13::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_16__s15::T1003,T1003,v4.0
e5_llama::AnnoCTR::RAG::bosch_16__s4::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s10::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s14::T1036,T1036,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s25::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s28::T1068,T1068,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s28::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s28::T1548,T1548,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s3::T1594,T1594,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s34::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s38::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s40::T1102,T1102,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s5::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s7::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s7::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s9::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s9::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s9::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s10::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s14::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s17::T1003,T1003,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s17::T1048,T1048,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s18::T1583,T1583,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s18::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s21::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s24::T1003,T1003,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s24::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s4::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s1::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s19::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s2::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s2::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s21::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s22::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s22::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s6::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s20::T1497,T1497,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s22::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s24::T1190,T1190,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s25::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s32::T1499,T1499,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s33::T1499,T1499,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s34::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s5::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s6::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s7::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s10::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s13::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s16::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s17::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s19::T1190,T1190,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s27::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s29::T1106,T1106,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s34::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s34::T1218,T1218,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s36::T1001,T1001,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s37::T1041,T1041,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s39::T1112,T1112,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s4::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s40::T1003,T1003,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s40::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s40::T1606,T1606,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s42::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s44::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s49::T1102,T1102,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s1::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s10::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s12::T1078,T1078,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s12::T1136,T1136,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s12::T1199,T1199,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s13::T1114,T1114,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s27::T1562,T1562,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s29::T1119,T1119,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s5::T1137,T1137,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s1::T1185,T1185,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s1::T1539,T1539,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s10::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s11::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s11::T1586,T1586,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s11::T1589,T1589,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s13::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s15::T1090,T1090,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s16::T1594,T1594,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s18::T1606,T1606,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s19::T1539,T1539,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s19::T1557,T1557,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s2::T1557,T1557,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s24::T1090,T1090,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s3::T1124,T1124,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s32::T1539,T1539,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s39::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s42::T1539,T1539,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s44::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s45::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s46::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s47::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s49::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s55::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s0::T1572,T1572,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s1::T1572,T1572,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s13::T1572,T1572,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s13::T1573,T1573,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s15::T1572,T1572,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s15::T1573,T1573,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s2::T1572,T1572,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s21::T1048,T1048,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s25::T1557,T1557,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s30::T1041,T1041,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s34::T1557,T1557,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s43::T1114,T1114,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s43::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s43::T1589,T1589,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s5::T1557,T1557,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s1::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s14::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s48::T1190,T1190,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s48::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s48::T1210,T1210,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s49::T1033,T1033,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s53::T1083,T1083,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s53::T1119,T1119,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s53::T1589,T1589,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s53::T1592,T1592,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s54::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s10::T1102,T1102,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s20::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s22::T1539,T1539,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s23::T1586,T1586,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s23::T1589,T1589,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s23::T1592,T1592,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s27::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s27::T1539,T1539,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s28::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s30::T1588,T1588,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s33::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s5::T1589,T1589,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s57::T1033,T1033,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s10::T1010,T1010,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s10::T1018,T1018,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s12::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s13::T1486,T1486,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s16::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s16::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s17::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s17::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s2::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s2::T1219,T1219,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s21::T1059,T1059,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s23::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s25::T1056,T1056,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s25::T1115,T1115,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s26::T1048,T1048,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s28::T1113,T1113,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s28::T1123,T1123,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s30::T1614,T1614,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s35::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s35::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s42::T1496,T1496,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s48::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s5::T1614,T1614,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s51::T1068,T1068,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s51::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s52::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s53::T1001,T1001,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s53::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s56::T1113,T1113,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s58::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s58::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s61::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s68::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s68::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s7::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s70::T1566,T1566,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s77::T1102,T1102,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s8::T1587,T1587,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s8::T1588,T1588,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s1::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s10::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s10::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s12::T1041,T1041,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s13::T1102,T1102,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s2::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s21::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s24::T1614,T1614,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s28::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s30::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s30::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s33::T1190,T1190,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s39::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s39::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s4::T1033,T1033,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s41::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s41::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s47::T1132,T1132,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s47::T1140,T1140,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s50::T1137,T1137,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s51::T1137,T1137,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s52::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s60::T1106,T1106,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s61::T1110,T1110,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s66::T1217,T1217,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s67::T1217,T1217,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s67::T1497,T1497,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s68::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s7::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s71::T1589,T1589,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s75::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s75::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s76::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s76::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s77::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s80::T1074,T1074,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s80::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s80::T1608,T1608,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s82::T1083,T1083,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s86::T1132,T1132,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s89::T1140,T1140,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s93::T1497,T1497,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s12::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s15::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s17::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s19::T1140,T1140,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s19::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s26::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s28::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s28::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s30::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s31::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s35::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s35::T1218,T1218,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s35::T1547,T1547,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s36::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s37::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s39::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s39::T1140,T1140,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s39::T1573,T1573,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s4::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s40::T1497,T1497,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s43::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s44::T1132,T1132,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s44::T1573,T1573,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s47::T1016,T1016,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s47::T1018,T1018,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s47::T1132,T1132,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s50::T1132,T1132,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s52::T1132,T1132,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s52::T1573,T1573,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s54::T1104,T1104,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s59::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s67::T1195,T1195,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s11::T1203,T1203,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s11::T1204,T1204,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s12::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s12::T1105,T1105,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s12::T1189,T1189,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s13::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s13::T1140,T1140,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s14::T1027,T1027,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s15::T1140,T1140,v4.0
e5_llama::AnnoCTR::RAG::bosch_29__s16::T1059,T1059,v4.0
