llm_run_id,extraction_setup_id,dataset,method,seed,original_seed,source_file,import_batch_id,first_seen_version
e5_mistral__AnnoCTR__RAG+FSP__seed2,e5_mistral,AnnoCTR,RAG+FSP,2,2,AnnoCTR_RAG_FSP_seed2_mistral_e5_ragfsp_seed2_20260526_092432.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__TRAM2__RAG__seed0,e5_mistral,TRAM2,RAG,0,0,TRAM2_RAG_seed0_mistral_e5_seed0_20260525_221207.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__TRAM2__RAG__seed1,e5_mistral,TRAM2,RAG,1,1,TRAM2_RAG_seed1_mistral_e5_seed1_20260526_071008.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__TRAM2__RAG__seed2,e5_mistral,TRAM2,RAG,2,2,TRAM2_RAG_seed2_mistral_e5_seed2_20260526_084518.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__TRAM2__RAG+FSP__seed0,e5_mistral,TRAM2,RAG+FSP,0,0,TRAM2_RAG_FSP_seed0_mistral_e5_ragfsp_seed0_20260526_102152.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__TRAM2__RAG+FSP__seed1,e5_mistral,TRAM2,RAG+FSP,1,1,TRAM2_RAG_FSP_seed1_mistral_e5_ragfsp_seed1_20260526_075103.jsonl,ib_S2_e5_mistral,v2.0
e5_mistral__TRAM2__RAG+FSP__seed2,e5_mistral,TRAM2,RAG+FSP,2,2,TRAM2_RAG_FSP_seed2_mistral_e5_ragfsp_seed2_20260526_092432.jsonl,ib_S2_e5_mistral,v2.0
e5_phi35__AnnoCTR__RAG__seed0,e5_phi35,AnnoCTR,RAG,0,0,AnnoCTR_RAG_seed0_setup5_e5_phi35_seed0_20260526_184545.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__AnnoCTR__RAG__seed1,e5_phi35,AnnoCTR,RAG,1,1,AnnoCTR_RAG_seed1_setup5_e5_phi35_seed1_20260527_004547.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__AnnoCTR__RAG__seed2,e5_phi35,AnnoCTR,RAG,2,2,AnnoCTR_RAG_seed2_setup5_e5_phi35_seed2_20260527_032051.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__AnnoCTR__RAG+FSP__seed0,e5_phi35,AnnoCTR,RAG+FSP,0,0,AnnoCTR_RAG_FSP_seed0_setup5_e5_phi35_seed0_20260526_184545.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__AnnoCTR__RAG+FSP__seed1,e5_phi35,AnnoCTR,RAG+FSP,1,1,AnnoCTR_RAG_FSP_seed1_setup5_e5_phi35_seed1_20260527_004547.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__AnnoCTR__RAG+FSP__seed2,e5_phi35,AnnoCTR,RAG+FSP,2,2,AnnoCTR_RAG_FSP_seed2_setup5_e5_phi35_seed2_20260527_032051.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__TRAM2__RAG__seed0,e5_phi35,TRAM2,RAG,0,0,TRAM2_RAG_seed0_setup5_e5_phi35_seed0_20260526_184545.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__TRAM2__RAG__seed1,e5_phi35,TRAM2,RAG,1,1,TRAM2_RAG_seed1_setup5_e5_phi35_seed1_20260527_004547.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__TRAM2__RAG__seed2,e5_phi35,TRAM2,RAG,2,2,TRAM2_RAG_seed2_setup5_e5_phi35_seed2_20260527_071609.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__TRAM2__RAG+FSP__seed0,e5_phi35,TRAM2,RAG+FSP,0,0,TRAM2_RAG_FSP_seed0_setup5_e5_phi35_seed0_20260526_184545.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__TRAM2__RAG+FSP__seed1,e5_phi35,TRAM2,RAG+FSP,1,1,TRAM2_RAG_FSP_seed1_setup5_e5_phi35_seed1_20260527_004547.jsonl,ib_S5_e5_phi35,v5.0
e5_phi35__TRAM2__RAG+FSP__seed2,e5_phi35,TRAM2,RAG+FSP,2,2,TRAM2_RAG_FSP_seed2_setup5_e5_phi35_seed2_20260527_055558.jsonl,ib_S5_e5_phi35,v5.0
gteqwen_llama__AnnoCTR__RAG__seed0,gteqwen_llama,AnnoCTR,RAG,0,0,AnnoCTR_RAG_seed0_setup1_gteqwen_llama_seed0_20260527_085414.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__AnnoCTR__RAG__seed1,gteqwen_llama,AnnoCTR,RAG,1,1,AnnoCTR_RAG_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__AnnoCTR__RAG__seed2,gteqwen_llama,AnnoCTR,RAG,2,2,AnnoCTR_RAG_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__AnnoCTR__RAG+FSP__seed0,gteqwen_llama,AnnoCTR,RAG+FSP,0,0,AnnoCTR_RAG+FSP_seed0_setup1_gteqwen_llama_seed0_20260527_085414.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__AnnoCTR__RAG+FSP__seed1,gteqwen_llama,AnnoCTR,RAG+FSP,1,1,AnnoCTR_RAG+FSP_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__AnnoCTR__RAG+FSP__seed2,gteqwen_llama,AnnoCTR,RAG+FSP,2,2,AnnoCTR_RAG+FSP_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__TRAM2__RAG__seed0,gteqwen_llama,TRAM2,RAG,0,0,TRAM2_RAG_seed0_setup1_gteqwen_llama_seed0_20260527_085414.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__TRAM2__RAG__seed1,gteqwen_llama,TRAM2,RAG,1,1,TRAM2_RAG_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__TRAM2__RAG__seed2,gteqwen_llama,TRAM2,RAG,2,2,TRAM2_RAG_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__TRAM2__RAG+FSP__seed0,gteqwen_llama,TRAM2,RAG+FSP,0,0,TRAM2_RAG+FSP_seed0_setup1_gteqwen_llama_seed0_20260527_085414.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__TRAM2__RAG+FSP__seed1,gteqwen_llama,TRAM2,RAG+FSP,1,1,TRAM2_RAG+FSP_seed1_setup1_gteqwen_llama_seeds12_20260528_084044_s1.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_llama__TRAM2__RAG+FSP__seed2,gteqwen_llama,TRAM2,RAG+FSP,2,2,TRAM2_RAG+FSP_seed2_setup1_gteqwen_llama_seeds12_20260528_084044_s2.jsonl,ib_S1_gteqwen_llama,v1.0
gteqwen_mistral__AnnoCTR__RAG__seed0,gteqwen_mistral,AnnoCTR,RAG,0,0,AnnoCTR_RAG_seed0_setup3_gteqwen_mistral_seed0_20260526_074547.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__AnnoCTR__RAG__seed1,gteqwen_mistral,AnnoCTR,RAG,1,1,AnnoCTR_RAG_seed1_setup3_gteqwen_mistral_seed1_20260526_084550.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__AnnoCTR__RAG__seed2,gteqwen_mistral,AnnoCTR,RAG,2,2,AnnoCTR_RAG_seed2_setup3_gteqwen_mistral_seed2_20260526_084821.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__AnnoCTR__RAG+FSP__seed0,gteqwen_mistral,AnnoCTR,RAG+FSP,0,0,AnnoCTR_RAG+FSP_seed0_setup3_gteqwen_mistral_seed0_20260526_074547.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__AnnoCTR__RAG+FSP__seed1,gteqwen_mistral,AnnoCTR,RAG+FSP,1,1,AnnoCTR_RAG+FSP_seed1_setup3_gteqwen_mistral_seed1_20260526_084550.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__AnnoCTR__RAG+FSP__seed2,gteqwen_mistral,AnnoCTR,RAG+FSP,2,2,AnnoCTR_RAG+FSP_seed2_setup3_gteqwen_mistral_seed2_20260526_084821.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__TRAM2__RAG__seed0,gteqwen_mistral,TRAM2,RAG,0,0,TRAM2_RAG_seed0_setup3_gteqwen_mistral_seed0_20260526_074547.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__TRAM2__RAG__seed1,gteqwen_mistral,TRAM2,RAG,1,1,TRAM2_RAG_seed1_setup3_gteqwen_mistral_seed1_20260526_084550.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__TRAM2__RAG__seed2,gteqwen_mistral,TRAM2,RAG,2,2,TRAM2_RAG_seed2_setup3_gteqwen_mistral_seed2_20260526_084821.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__TRAM2__RAG+FSP__seed0,gteqwen_mistral,TRAM2,RAG+FSP,0,0,TRAM2_RAG+FSP_seed0_setup3_gteqwen_mistral_seed0_20260526_074547.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__TRAM2__RAG+FSP__seed1,gteqwen_mistral,TRAM2,RAG+FSP,1,1,TRAM2_RAG+FSP_seed1_setup3_gteqwen_mistral_seed1_20260526_084550.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_mistral__TRAM2__RAG+FSP__seed2,gteqwen_mistral,TRAM2,RAG+FSP,2,2,TRAM2_RAG+FSP_seed2_setup3_gteqwen_mistral_seed2_20260526_084821.jsonl,ib_S3_gteqwen_mistral,v3.0
gteqwen_phi35__AnnoCTR__RAG__seed0,gteqwen_phi35,AnnoCTR,RAG,0,0,AnnoCTR_RAG_seed0_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__AnnoCTR__RAG__seed1,gteqwen_phi35,AnnoCTR,RAG,1,1,AnnoCTR_RAG_seed1_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__AnnoCTR__RAG__seed2,gteqwen_phi35,AnnoCTR,RAG,2,2,AnnoCTR_RAG_seed2_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__AnnoCTR__RAG+FSP__seed0,gteqwen_phi35,AnnoCTR,RAG+FSP,0,0,AnnoCTR_RAG+FSP_seed0_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__AnnoCTR__RAG+FSP__seed1,gteqwen_phi35,AnnoCTR,RAG+FSP,1,1,AnnoCTR_RAG+FSP_seed1_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__AnnoCTR__RAG+FSP__seed2,gteqwen_phi35,AnnoCTR,RAG+FSP,2,2,AnnoCTR_RAG+FSP_seed2_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__TRAM2__RAG__seed0,gteqwen_phi35,TRAM2,RAG,0,0,TRAM2_RAG_seed0_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__TRAM2__RAG__seed1,gteqwen_phi35,TRAM2,RAG,1,1,TRAM2_RAG_seed1_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__TRAM2__RAG__seed2,gteqwen_phi35,TRAM2,RAG,2,2,TRAM2_RAG_seed2_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__TRAM2__RAG+FSP__seed0,gteqwen_phi35,TRAM2,RAG+FSP,0,0,TRAM2_RAG+FSP_seed0_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__TRAM2__RAG+FSP__seed1,gteqwen_phi35,TRAM2,RAG+FSP,1,1,TRAM2_RAG+FSP_seed1_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
gteqwen_phi35__TRAM2__RAG+FSP__seed2,gteqwen_phi35,TRAM2,RAG+FSP,2,2,TRAM2_RAG+FSP_seed2_setup4_gteqwen_phi35_20260527_094000.jsonl,ib_S4_gteqwen_phi35,v6.0
