graph_assertion_id,sentence_id,first_seen_version
e5_llama::AnnoCTR::RAG::bosch_16__s13::T1566,bosch_16__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_16__s15::T1003,bosch_16__s15,v4.0
e5_llama::AnnoCTR::RAG::bosch_16__s4::T1566,bosch_16__s4,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s10::T1566,bosch_17__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s14::T1036,bosch_17__s14,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s25::T1566,bosch_17__s25,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s28::T1068,bosch_17__s28,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s28::T1204,bosch_17__s28,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s28::T1548,bosch_17__s28,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s3::T1594,bosch_17__s3,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s34::T1204,bosch_17__s34,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s38::T1566,bosch_17__s38,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s40::T1102,bosch_17__s40,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s5::T1566,bosch_17__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s7::T1189,bosch_17__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s7::T1566,bosch_17__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s9::T1189,bosch_17__s9,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s9::T1203,bosch_17__s9,v4.0
e5_llama::AnnoCTR::RAG::bosch_17__s9::T1566,bosch_17__s9,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s10::T1566,bosch_18__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s14::T1566,bosch_18__s14,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s17::T1003,bosch_18__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s17::T1048,bosch_18__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s18::T1583,bosch_18__s18,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s18::T1608,bosch_18__s18,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s21::T1566,bosch_18__s21,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s24::T1003,bosch_18__s24,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s24::T1189,bosch_18__s24,v4.0
e5_llama::AnnoCTR::RAG::bosch_18__s4::T1566,bosch_18__s4,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s1::T1566,bosch_19__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s19::T1566,bosch_19__s19,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s2::T1204,bosch_19__s2,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s2::T1566,bosch_19__s2,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s21::T1566,bosch_19__s21,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s22::T1189,bosch_19__s22,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s22::T1204,bosch_19__s22,v4.0
e5_llama::AnnoCTR::RAG::bosch_19__s6::T1204,bosch_19__s6,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s20::T1497,bosch_1__s20,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s22::T1486,bosch_1__s22,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s24::T1190,bosch_1__s24,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s25::T1203,bosch_1__s25,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s32::T1499,bosch_1__s32,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s33::T1499,bosch_1__s33,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s34::T1486,bosch_1__s34,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s5::T1486,bosch_1__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s6::T1486,bosch_1__s6,v4.0
e5_llama::AnnoCTR::RAG::bosch_1__s7::T1195,bosch_1__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s10::T1204,bosch_20__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s13::T1204,bosch_20__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s16::T1566,bosch_20__s16,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s17::T1204,bosch_20__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s19::T1190,bosch_20__s19,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s27::T1204,bosch_20__s27,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s29::T1106,bosch_20__s29,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s34::T1059,bosch_20__s34,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s34::T1218,bosch_20__s34,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s36::T1001,bosch_20__s36,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s37::T1041,bosch_20__s37,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s39::T1112,bosch_20__s39,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s4::T1204,bosch_20__s4,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s40::T1003,bosch_20__s40,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s40::T1105,bosch_20__s40,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s40::T1606,bosch_20__s40,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s42::T1486,bosch_20__s42,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s44::T1608,bosch_20__s44,v4.0
e5_llama::AnnoCTR::RAG::bosch_20__s49::T1102,bosch_20__s49,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s1::T1566,bosch_21__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s10::T1195,bosch_21__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s12::T1078,bosch_21__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s12::T1136,bosch_21__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s12::T1199,bosch_21__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s13::T1114,bosch_21__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s27::T1562,bosch_21__s27,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s29::T1119,bosch_21__s29,v4.0
e5_llama::AnnoCTR::RAG::bosch_21__s5::T1137,bosch_21__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s1::T1185,bosch_22__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s1::T1539,bosch_22__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s10::T1566,bosch_22__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s11::T1566,bosch_22__s11,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s11::T1586,bosch_22__s11,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s11::T1589,bosch_22__s11,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s13::T1566,bosch_22__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s15::T1090,bosch_22__s15,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s16::T1594,bosch_22__s16,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s18::T1606,bosch_22__s18,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s19::T1539,bosch_22__s19,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s19::T1557,bosch_22__s19,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s2::T1557,bosch_22__s2,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s24::T1090,bosch_22__s24,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s3::T1124,bosch_22__s3,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s32::T1539,bosch_22__s32,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s39::T1566,bosch_22__s39,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s42::T1539,bosch_22__s42,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s44::T1059,bosch_22__s44,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s45::T1566,bosch_22__s45,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s46::T1566,bosch_22__s46,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s47::T1566,bosch_22__s47,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s49::T1566,bosch_22__s49,v4.0
e5_llama::AnnoCTR::RAG::bosch_22__s55::T1027,bosch_22__s55,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s0::T1572,bosch_23__s0,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s1::T1572,bosch_23__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s13::T1572,bosch_23__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s13::T1573,bosch_23__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s15::T1572,bosch_23__s15,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s15::T1573,bosch_23__s15,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s2::T1572,bosch_23__s2,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s21::T1048,bosch_23__s21,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s25::T1557,bosch_23__s25,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s30::T1041,bosch_23__s30,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s34::T1557,bosch_23__s34,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s43::T1114,bosch_23__s43,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s43::T1189,bosch_23__s43,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s43::T1589,bosch_23__s43,v4.0
e5_llama::AnnoCTR::RAG::bosch_23__s5::T1557,bosch_23__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s1::T1195,bosch_24__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s14::T1486,bosch_24__s14,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s48::T1190,bosch_24__s48,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s48::T1203,bosch_24__s48,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s48::T1210,bosch_24__s48,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s49::T1033,bosch_24__s49,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s53::T1083,bosch_24__s53,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s53::T1119,bosch_24__s53,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s53::T1589,bosch_24__s53,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s53::T1592,bosch_24__s53,v4.0
e5_llama::AnnoCTR::RAG::bosch_24__s54::T1189,bosch_24__s54,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s10::T1102,bosch_25__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s20::T1204,bosch_25__s20,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s22::T1539,bosch_25__s22,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s23::T1586,bosch_25__s23,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s23::T1589,bosch_25__s23,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s23::T1592,bosch_25__s23,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s27::T1105,bosch_25__s27,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s27::T1539,bosch_25__s27,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s28::T1204,bosch_25__s28,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s30::T1588,bosch_25__s30,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s33::T1195,bosch_25__s33,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s5::T1589,bosch_25__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_25__s57::T1033,bosch_25__s57,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s10::T1010,bosch_26__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s10::T1018,bosch_26__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s12::T1204,bosch_26__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s13::T1486,bosch_26__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s16::T1204,bosch_26__s16,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s16::T1566,bosch_26__s16,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s17::T1204,bosch_26__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s17::T1566,bosch_26__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s2::T1204,bosch_26__s2,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s2::T1219,bosch_26__s2,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s21::T1059,bosch_26__s21,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s23::T1195,bosch_26__s23,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s25::T1056,bosch_26__s25,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s25::T1115,bosch_26__s25,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s26::T1048,bosch_26__s26,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s28::T1113,bosch_26__s28,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s28::T1123,bosch_26__s28,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s30::T1614,bosch_26__s30,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s35::T1204,bosch_26__s35,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s35::T1566,bosch_26__s35,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s42::T1496,bosch_26__s42,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s48::T1105,bosch_26__s48,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s5::T1614,bosch_26__s5,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s51::T1068,bosch_26__s51,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s51::T1203,bosch_26__s51,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s52::T1027,bosch_26__s52,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s53::T1001,bosch_26__s53,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s53::T1027,bosch_26__s53,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s56::T1113,bosch_26__s56,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s58::T1027,bosch_26__s58,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s58::T1105,bosch_26__s58,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s61::T1027,bosch_26__s61,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s68::T1204,bosch_26__s68,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s68::T1566,bosch_26__s68,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s7::T1608,bosch_26__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s70::T1566,bosch_26__s70,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s77::T1102,bosch_26__s77,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s8::T1587,bosch_26__s8,v4.0
e5_llama::AnnoCTR::RAG::bosch_26__s8::T1588,bosch_26__s8,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s1::T1204,bosch_27__s1,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s10::T1203,bosch_27__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s10::T1204,bosch_27__s10,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s12::T1041,bosch_27__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s13::T1102,bosch_27__s13,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s2::T1104,bosch_27__s2,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s21::T1204,bosch_27__s21,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s24::T1614,bosch_27__s24,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s28::T1608,bosch_27__s28,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s30::T1104,bosch_27__s30,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s30::T1608,bosch_27__s30,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s33::T1190,bosch_27__s33,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s39::T1203,bosch_27__s39,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s39::T1204,bosch_27__s39,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s4::T1033,bosch_27__s4,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s41::T1027,bosch_27__s41,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s41::T1204,bosch_27__s41,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s47::T1132,bosch_27__s47,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s47::T1140,bosch_27__s47,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s50::T1137,bosch_27__s50,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s51::T1137,bosch_27__s51,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s52::T1204,bosch_27__s52,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s60::T1106,bosch_27__s60,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s61::T1110,bosch_27__s61,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s66::T1217,bosch_27__s66,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s67::T1217,bosch_27__s67,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s67::T1497,bosch_27__s67,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s68::T1204,bosch_27__s68,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s7::T1204,bosch_27__s7,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s71::T1589,bosch_27__s71,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s75::T1105,bosch_27__s75,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s75::T1608,bosch_27__s75,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s76::T1104,bosch_27__s76,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s76::T1608,bosch_27__s76,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s77::T1105,bosch_27__s77,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s80::T1074,bosch_27__s80,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s80::T1104,bosch_27__s80,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s80::T1608,bosch_27__s80,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s82::T1083,bosch_27__s82,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s86::T1132,bosch_27__s86,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s89::T1140,bosch_27__s89,v4.0
e5_llama::AnnoCTR::RAG::bosch_27__s93::T1497,bosch_27__s93,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s12::T1204,bosch_28__s12,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s15::T1204,bosch_28__s15,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s17::T1204,bosch_28__s17,v4.0
e5_llama::AnnoCTR::RAG::bosch_28__s19::T1140,bosch_28__s19,v4.0
